age,description,review,is_recommended,rating_star,review_date,usage_period,purchase_point
30 - 34,"Oily, Light, Neutral","Milk cleanser ini aku pakai sebagai first cleanser, tidak pakai kapas untuk menggosok wajahku namun aku bilas dengan air dan dilanjutkan dengan second cleanser. Teksturnya lotion, agak susah dikeluarkan dari botol nya, jadi kutaruh terbalik. Cukup membersihkan wajahku dan tidak bikin break out. Wanginya awal2 ak kurang suka, tapi lama-kelamaan terbiasa juga.",yes,4,30/06/21, 1 month - 3 months, Traditional market
18 and Under,"Combination, Medium Dark, Warm","Ini cleansing milk pertama aku packagingnya imut2 gtu deh ciri khas emina seperti biasanya. Overall di kulitku si cocok2 aja cukup membersihkan make up , sunscreen/ , kotoran di wajah. Karna ini kecil dan cepat habis jadi aku pakai ini di selingin sama nivea co . Repurchase? Yess",yes,5,26/05/21, Less than 1 week, Official Brand Store
25 - 29,"Oily, Medium, Neutral","As a first cleanser ini bisa menghapus make up dengan cukup baik, tapi untuk make up mata aku sarankan untuk double dengan micellar water atau eye remover. Compare to its price so much worth it menurutku, 20rban aja bisa jadi sebulan. Tekstur creamy dan baunya yang mild lumayan lah ya untuk menutupi statementku bagus tapi bukan yang terbaik buat first cleansing product. Repurchase? I'll decide to buy another brand to try.",yes,4,20/05/21, Less than 1 week, Watson
19 - 24,"Combination, Medium, Neutral","wanginya enak.. lembut natural gitu, dipakai dikit aja cukup se muka meski kecil tp tahan lama, lumayan juga yg mau tester gk bakal rugi.. btw aku masih ada yg utuh nih baru dipakai 5x aslinya 23k jadi 15k aja! YUK keburu diambil org! ada skincare lainnya juga, yg minat bisa Cek postinganku di FD atau telegram: @kkKamilah",yes,4,19/01/21, 1 week - 1 month, Dan+Dan
25 - 29,"Normal, Medium, Neutral","Aku beli ini karenaa milk cleanser habis, dan sebelum menemukan micellar water yg cocok. Gak suka karena bikin muka terasa panas dan perih, setelah pakai cepet2 ku basuh dg air. Ternyata bukan cuma aku aja lo. Jadi kupakai buat ambil komedo aja, bukan semuka. untuk harganya memang terjangkau banget",No,3,16/01/21, 1 month - 3 months, Official Brand Store
19 - 24,"Dry, Medium Light, Neutral","Awalnya ngira bakalan tahan lama barengan sama tonernya. Ternyata seminggu aja udah habis. Aku suka produk ini, karna gak terlalu berat di wajah. Cuma memang gak terlalu mengangkat kotoran secara intense butuh berkali-kali juga. Tapi kalo digunain untuk sehari ini udah cukup efektif kok.",yes,3,04/01/21, 1 week - 1 month, Official Brand Store
18 and Under,"Combination, Medium, Neutral","aku pake ini sebelum nemu micellar water yg cocok, jdi ibaratnya aku nyobain first cleanser pertama kali pake ini. sebenenya dri awal pemakaian aku ngerasa bgs karena ngangkat kotoran yg ada di eajah aku, tpi makin hari aku pake ada kyk cekit"" gtuu, makanya aku stop pemakaian takut knp"" hyung(._.)",No,2,09/12/20, Less than 1 week, Shopee
18 and Under,"Combination, Medium, Neutral","Dari beberapa produk emina yg pernah aku coba, cuma dia yg bikin nambah kusem dan berminyak. Yg lain nyerahinnya emg ga terlalu, tapi seenggaknya ga bikin kusem. Beli ini waktu awal SMA dulu. Ga pake emina lagi karena menurut aku ga ada perubahan.",yes,3,03/11/20, 1 week - 1 month, Shopee
19 - 24,",19 - 24","Sebenarnya produk ini bagus tapi sayang kemasannya kecil dan cepet habis. Kulitku kombinasi dan cocok pakai cleanser ini, tapi sayang nggak up-size nya. Untungnya cocok untuk travel size. Harganya juga nggak mahal 25rb",yes,4,22/09/20, 1 month - 3 months, Official Brand Store
25 - 29,"Combination, Light, Neutral","Padahal harganya murah meriah, tapi sayangnya aku kurang cocok karena bikin beruntusan :( Terus di area hidung sama sekitar mulut agak perih. Wanginya juga agak nyengat jadi kurang nyaman pakenya. Terus walaupun udah dibersihin, dia masih ada feel lengket gitu di wajah.",No,3,13/09/20, Less than 1 week, Shopee
19 - 24,"Oily, Medium, Neutral",Percayalah aku membeli ini karena pacakgingnya yang sangat eye catching. Sayangnya produk ini tidak cocok di wajahku. Pemakaian selama kurang lebih hanya 2 minggu setelah itu kuhentikan. Selama pengaplikasian terasa agak panas di wajahku dan tidak lama timbul jerawat. Entah apa yang membuatku tidak cocok. Lotion ini putih kental dan ada aroma wanginya. Di ingridients memang terdapat fragrance. ,No,2,25/08/20, 1 week - 1 month, Shopee
19 - 24,"Dry, Light, Neutral","Beli ini karena pengen coba-coba milk cleanser, dan ternyata lumayan. Ga bikin kulit bermasalah, ga bikin kering dan ketarik juga. Harganya juga affordable bangettt, under 50k. But, I think i won't repurchase this one. Mau pakai CO atau CB aja. ",No,3,22/08/20, 6 months - 1 year, Shopee
